IncidentId,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
169180024,9/9/2017,15:20:00,BROOKLYN,67,0,,FALSE,18-24,M,BLACK,18-24,M,BLACK,997784,172132,40.63913704,-73.95123623
156603440,9/9/2016,20:58:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,<18,M,BLACK,1003592,176432,40.65092884,-73.93029673
146013532,9/9/2015,19:03:00,BROOKLYN,77,0,,TRUE,25-44,M,BLACK,18-24,M,BLACK,1001196,185003,40.67445925,-73.9389099
145992814,9/9/2015,11:54:00,BROOKLYN,70,0,MULTI DWELL - APT BUILD,FALSE,<18,M,WHITE HISPANIC,<18,M,WHITE HISPANIC,994904,167484,40.6263832,-73.96162067
92507648,9/9/2013,3:55:00,MANHATTAN,17,0,BAR/NIGHT CLUB,FALSE,25-44,M,BLACK,25-44,M,BLACK,991876,214311,40.75491564,-73.97247597
92525805,9/9/2013,15:14:00,QUEENS,113,0,,FALSE,25-44,M,BLACK,25-44,M,BLACK,1050964,189413,40.6863285,-73.75944958
86664788,9/9/2012,23:22:00,STATEN ISLAND,120,0,,TRUE,25-44,M,BLACK,18-24,M,BLACK,951991,171198,40.636525,-74.11623137
80667853,9/9/2011,23:00:00,BRONX,44,0,,FALSE,18-24,M,BLACK,18-24,F,BLACK,1007977,246029,40.84194433,-73.91424856
80667853,9/9/2011,23:00:00,BRONX,44,0,,FALSE,18-24,M,WHITE HISPANIC,18-24,F,BLACK,1007977,246029,40.84194433,-73.91424856
80667853,9/9/2011,23:00:00,BRONX,44,0,,FALSE,18-24,M,BLACK,18-24,M,BLACK,1007977,246029,40.84194433,-73.91424856
80667853,9/9/2011,23:00:00,BRONX,44,0,,FALSE,18-24,M,WHITE HISPANIC,18-24,M,BLACK,1007977,246029,40.84194433,-73.91424856
80667641,9/9/2011,22:43:00,QUEENS,104,0,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK HISPANIC,<18,M,WHITE HISPANIC,1008657,195934,40.70444489,-73.91197287
80667641,9/9/2011,22:43:00,QUEENS,104,0,MULTI DWELL - APT BUILD,FALSE,<18,M,BLACK HISPANIC,<18,M,WHITE HISPANIC,1008657,195934,40.70444489,-73.91197287
80654704,9/9/2011,12:39:00,QUEENS,114,2,MULTI DWELL - PUBLIC HOUS,FALSE,<18,M,BLACK,18-24,M,BLACK,1009725,215121,40.75710548,-73.90804828
